question,nameA,nameB,imageA,imageB,correct,explanation,category,difficulty
哪一個才是真的?,版本 A,版本 B,logos/apple_real.png,logos/apple_fake.png,A,,,
哪一個才是真的?,版本 A,版本 B,logos/bmw_fake.png,logos/bmw_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/google_real.png,logos/google_fake.png,A,,,
哪一個才是真的?,版本 A,版本 B,logos/coco_shop_fake.png,logos/coco_shop_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/instagram_real.png,logos/instagram_fake.png,A,,,
哪一個才是真的?,版本 A,版本 B,logos/louisa_fake.png,logos/louisa_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/netflix_fake.png,logos/netflix_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/nvidia_real.png,logos/nvidia_fake.png,A,,,
哪一個才是真的?,版本 A,版本 B,logos/superman_fake.png,logos/superman_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/yamaha_fake.png,logos/yamaha_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/youtube_fake.png,logos/youtube_real.png,B,,,
哪一個才是真的?,版本 A,版本 B,logos/amazon_fake.png,logos/amazon_real.png,B,,,
